Industry_clean,n,mean_growth,median_growth,sd_growth,iqr_growth,min_growth,max_growth
Software,292,1365.9596575342466,3.65,4266.547188627607,6.620000000000001,1.37,46556
Biotech_Pharma,82,1266.4298780487804,4.535,4250.59789539362,1269.7575,1.35,31242
